a,seed,excluded,ck_step,level,variant,placed_end,G_end,first_hit
1.3,630000,False,3357,0.1,preserved,False,-2.1236919670860526,
1.3,630000,False,3357,0.1,reset,False,-2.1236880098543613,
1.3,630000,False,3357,0.3,preserved,False,-0.6326097550140193,
1.3,630000,False,3357,0.3,reset,False,-0.6326102236736366,
1.3,630000,False,3357,0.5,preserved,False,-0.2803329437901372,
1.3,630000,False,3357,0.5,reset,False,-0.28032704716012447,
1.3,630001,False,1776,0.1,preserved,False,-1.76591284785314,
1.3,630001,False,1776,0.1,reset,False,-1.7665013089197745,
1.3,630001,False,1776,0.3,preserved,False,-0.5030518236797654,
1.3,630001,False,1776,0.3,reset,False,-0.5030521672503383,
1.3,630001,False,1776,0.5,preserved,False,-0.20519511630591403,
1.3,630001,False,1776,0.5,reset,False,-0.20519750701233264,
1.3,630002,False,12000,0.1,preserved,False,-0.005332190528610892,
1.3,630002,False,12000,0.1,reset,False,-0.005401444030069036,
1.3,630002,False,12000,0.3,preserved,False,-0.0015953336340381874,
1.3,630002,False,12000,0.3,reset,False,-0.0015037270281754722,
1.3,630002,False,12000,0.5,preserved,False,-0.0019271620356007269,
1.3,630002,False,12000,0.5,reset,False,-0.0009288321763545326,
1.3,630003,False,2442,0.1,preserved,False,-1.6456285339909822,
1.3,630003,False,2442,0.1,reset,False,-1.645628529794294,
1.3,630003,False,2442,0.3,preserved,False,-0.44924385732083083,
1.3,630003,False,2442,0.3,reset,False,-0.45032379349344076,
1.3,630003,False,2442,0.5,preserved,False,-0.17186744092739925,
1.3,630003,False,2442,0.5,reset,False,-0.1718687271069106,
1.3,630004,False,2082,0.1,preserved,False,-1.6435035988450712,
1.3,630004,False,2082,0.1,reset,False,-1.6444117684357178,
1.3,630004,False,2082,0.3,preserved,False,-0.4610256612414365,
1.3,630004,False,2082,0.3,reset,False,-0.46102055992792046,
1.3,630004,False,2082,0.5,preserved,False,-0.18221171033616113,
1.3,630004,False,2082,0.5,reset,False,-0.18271782839364947,
1.3,630005,False,2863,0.1,preserved,False,-1.8131255290866377,
1.3,630005,False,2863,0.1,reset,False,-1.8125958842823344,
1.3,630005,False,2863,0.3,preserved,False,-0.5183782492035229,
1.3,630005,False,2863,0.3,reset,False,-0.5183723909597,
1.3,630005,False,2863,0.5,preserved,False,-0.21431488394764564,
1.3,630005,False,2863,0.5,reset,False,-0.2143151567746937,
1.3,630006,False,2863,0.1,preserved,False,-1.7298509791102985,
1.3,630006,False,2863,0.1,reset,False,-1.729853942597027,
1.3,630006,False,2863,0.3,preserved,False,-0.4766185054413983,
1.3,630006,False,2863,0.3,reset,False,-0.4766188456455285,
1.3,630006,False,2863,0.5,preserved,False,-0.18600493673552876,
1.3,630006,False,2863,0.5,reset,False,-0.18600493756584324,
1.3,630007,False,2442,0.1,preserved,False,-2.0412675150100195,
1.3,630007,False,2442,0.1,reset,False,-2.0418771376069436,
1.3,630007,False,2442,0.3,preserved,False,-0.6030390716575429,
1.3,630007,False,2442,0.3,reset,False,-0.6031881163465558,
1.3,630007,False,2442,0.5,preserved,False,-0.2656983670650046,
1.3,630007,False,2442,0.5,reset,False,-0.26569788203697353,
1.3,630008,False,1776,0.1,preserved,False,-1.9253047318961063,
1.3,630008,False,1776,0.1,reset,False,-1.9253047318758136,
1.3,630008,False,1776,0.3,preserved,False,-0.5564486221583653,
1.3,630008,False,1776,0.3,reset,False,-0.5564496480669825,
1.3,630008,False,1776,0.5,preserved,False,-0.23590718968350544,
1.3,630008,False,1776,0.5,reset,False,-0.23590688117145575,
1.3,630009,False,3357,0.1,preserved,False,-1.8890472195273063,
1.3,630009,False,3357,0.1,reset,False,-1.8890463666804367,
1.3,630009,False,3357,0.3,preserved,False,-0.5509208821539362,
1.3,630009,False,3357,0.3,reset,False,-0.5509214861088436,
1.3,630009,False,3357,0.5,preserved,False,-0.23794864442245567,
1.3,630009,False,3357,0.5,reset,False,-0.23922630357833974,
1.3,630010,False,2442,0.1,preserved,False,-1.5844862351682978,
1.3,630010,False,2442,0.1,reset,False,-1.5844834207709746,
1.3,630010,False,2442,0.3,preserved,False,-0.45844423893498165,
1.3,630010,False,2442,0.3,reset,False,-0.4530195345369048,
1.3,630010,False,2442,0.5,preserved,False,-0.18987972551608978,
1.3,630010,False,2442,0.5,reset,False,-0.1898758782261587,
1.3,630011,False,3357,0.1,preserved,False,-1.8046483694822428,
1.3,630011,False,3357,0.1,reset,False,-1.8049543908813244,
1.3,630011,False,3357,0.3,preserved,False,-0.522002162035486,
1.3,630011,False,3357,0.3,reset,False,-0.5217011114478836,
1.3,630011,False,3357,0.5,preserved,False,-0.21894284303663047,
1.3,630011,False,3357,0.5,reset,False,-0.21894284323065039,
1.3,630012,False,3937,0.1,preserved,False,-1.7367921586736763,
1.3,630012,False,3937,0.1,reset,False,-1.736727070269638,
1.3,630012,False,3937,0.3,preserved,False,-0.4938083194325591,
1.3,630012,False,3937,0.3,reset,False,-0.49294986218073644,
1.3,630012,False,3937,0.5,preserved,False,-0.20349394868853432,
1.3,630012,False,3937,0.5,reset,False,-0.20349589508757226,
1.3,630013,False,2082,0.1,preserved,False,-1.8909369281030362,
1.3,630013,False,2082,0.1,reset,False,-1.8909368586003468,
1.3,630013,False,2082,0.3,preserved,False,-0.5492773657691519,
1.3,630013,False,2082,0.3,reset,False,-0.5492994979573664,
1.3,630013,False,2082,0.5,preserved,False,-0.23316020671213566,
1.3,630013,False,2082,0.5,reset,False,-0.23321098712413235,
1.3,630014,False,2082,0.1,preserved,False,-1.9588327513831583,
1.3,630014,False,2082,0.1,reset,False,-1.9568559402365695,
1.3,630014,False,2082,0.3,preserved,False,-0.5729643475331736,
1.3,630014,False,2082,0.3,reset,False,-0.567696309300957,
1.3,630014,False,2082,0.5,preserved,False,-0.2459172982314839,
1.3,630014,False,2082,0.5,reset,False,-0.24579732979797786,
1.3,630015,False,1776,0.1,preserved,False,-1.9098114569324047,
1.3,630015,False,1776,0.1,reset,False,-1.9105983455198432,
1.3,630015,False,1776,0.3,preserved,False,-0.5426500786640758,
1.3,630015,False,1776,0.3,reset,False,-0.542266089139146,
1.3,630015,False,1776,0.5,preserved,False,-0.2247649995760117,
1.3,630015,False,1776,0.5,reset,False,-0.22550042743847554,
1.3,630016,False,7443,0.1,preserved,False,-1.770107970162819,
1.3,630016,False,7443,0.1,reset,False,-1.7701924441798622,
1.3,630016,False,7443,0.3,preserved,False,-0.5078630659877201,
1.3,630016,False,7443,0.3,reset,False,-0.5078337048471582,
1.3,630016,False,7443,0.5,preserved,False,-0.2103313905255475,
1.3,630016,False,7443,0.5,reset,False,-0.21033048318033565,
1.3,630017,False,2863,0.1,preserved,False,-1.830301118942919,
1.3,630017,False,2863,0.1,reset,False,-1.8303011265515956,
1.3,630017,False,2863,0.3,preserved,False,-0.523917099832854,
1.3,630017,False,2863,0.3,reset,False,-0.5239170999994078,
1.3,630017,False,2863,0.5,preserved,False,-0.2173085867406579,
1.3,630017,False,2863,0.5,reset,False,-0.21731374449164953,
1.3,630018,False,12000,0.1,preserved,False,-0.012097468215106377,
1.3,630018,False,12000,0.1,reset,False,-0.012073564132203618,
1.3,630018,False,12000,0.3,preserved,False,-0.002969693804003165,
1.3,630018,False,12000,0.3,reset,False,-0.0029676646574986476,
1.3,630018,False,12000,0.5,preserved,False,-0.0013928803404184842,
1.3,630018,False,12000,0.5,reset,False,-0.0025735257001580913,
1.3,630019,False,6347,0.1,preserved,False,-1.9015525756236256,
1.3,630019,False,6347,0.1,reset,False,-1.9010524862201468,
1.3,630019,False,6347,0.3,preserved,False,-0.5577841283674032,
1.3,630019,False,6347,0.3,reset,False,-0.5572623681337898,
1.3,630019,False,6347,0.5,preserved,False,-0.24031043485585313,
1.3,630019,False,6347,0.5,reset,False,-0.24031039196741677,
1.5,630000,False,1776,0.1,preserved,False,-2.8861629773424244,
1.5,630000,False,1776,0.1,reset,False,-2.884958803788286,
1.5,630000,False,1776,0.3,preserved,False,-1.2087461900237757,
1.5,630000,False,1776,0.3,reset,False,-1.2087447821960968,
1.5,630000,False,1776,0.5,preserved,False,-0.5581995793941275,
1.5,630000,False,1776,0.5,reset,False,-0.5582045436584684,
1.5,630001,False,801,0.1,preserved,False,-2.460465877083565,
1.5,630001,False,801,0.1,reset,False,-2.4604658745872188,
1.5,630001,False,801,0.3,preserved,False,-0.9517565788500861,
1.5,630001,False,801,0.3,reset,False,-0.95313434382639,
1.5,630001,False,801,0.5,preserved,False,-0.40582651090316,
1.5,630001,False,801,0.5,reset,False,-0.405825923616848,
1.5,630002,False,12000,0.1,preserved,False,-0.008309385751962356,
1.5,630002,False,12000,0.1,reset,False,-0.00869233412724077,
1.5,630002,False,12000,0.3,preserved,False,-0.0027869201273557076,
1.5,630002,False,12000,0.3,reset,False,-0.002787362534327431,
1.5,630002,False,12000,0.5,preserved,False,-0.000279261039465295,
1.5,630002,False,12000,0.5,reset,False,-0.0006576858627042048,
1.5,630003,False,1291,0.1,preserved,False,-2.312460773705493,
1.5,630003,False,1291,0.1,reset,False,-2.312457768898284,
1.5,630003,False,1291,0.3,preserved,False,-0.8593353404075499,
1.5,630003,False,1291,0.3,reset,False,-0.8569108450988816,
1.5,630003,False,1291,0.5,preserved,False,-0.3442247263568059,
1.5,630003,False,1291,0.5,reset,False,-0.3438132264211098,
1.5,630004,False,1101,0.1,preserved,False,-2.281695628408394,
1.5,630004,False,1101,0.1,reset,False,-2.2814919587788967,
1.5,630004,False,1101,0.3,preserved,False,-0.8663092619940875,
1.5,630004,False,1101,0.3,reset,False,-0.8663027181510956,
1.5,630004,False,1101,0.5,preserved,False,-0.35593699385464017,
1.5,630004,False,1101,0.5,reset,False,-0.3559369737140279,
1.5,630005,False,2082,0.1,preserved,False,-2.5284605404171754,
1.5,630005,False,2082,0.1,reset,False,-2.5284605833671967,
1.5,630005,False,2082,0.3,preserved,False,-0.9870983796873394,
1.5,630005,False,2082,0.3,reset,False,-0.9870983798353805,
1.5,630005,False,2082,0.5,preserved,False,-0.42563074669300516,
1.5,630005,False,2082,0.5,reset,False,-0.42576292352937983,
1.5,630006,False,1291,0.1,preserved,False,-2.425181170479269,
1.5,630006,False,1291,0.1,reset,False,-2.4251849433756805,
1.5,630006,False,1291,0.3,preserved,False,-0.9138941864233998,
1.5,630006,False,1291,0.3,reset,False,-0.9138940176674026,
1.5,630006,False,1291,0.5,preserved,False,-0.3731881948083178,
1.5,630006,False,1291,0.5,reset,False,-0.3771669755338114,
1.5,630007,False,1101,0.1,preserved,False,-2.7942352104667467,
1.5,630007,False,1101,0.1,reset,False,-2.7942350726284055,
1.5,630007,False,1101,0.3,preserved,False,-1.1548342763913668,
1.5,630007,False,1101,0.3,reset,False,-1.1547282661468197,
1.5,630007,False,1101,0.5,preserved,False,-0.5293759363216357,
1.5,630007,False,1101,0.5,reset,False,-0.5294109995161169,
1.5,630008,False,801,0.1,preserved,False,-2.6387695306327896,
1.5,630008,False,801,0.1,reset,False,-2.638770597492436,
1.5,630008,False,801,0.3,preserved,False,-1.062097509160897,
1.5,630008,False,801,0.3,reset,False,-1.0628921107456284,
1.5,630008,False,801,0.5,preserved,False,-0.46947921047911434,
1.5,630008,False,801,0.5,reset,False,-0.46932613273612356,
1.5,630009,False,2863,0.1,preserved,False,-2.6266349800874753,
1.5,630009,False,2863,0.1,reset,False,-2.6266349834674636,
1.5,630009,False,2863,0.3,preserved,False,-1.052645796606651,
1.5,630009,False,2863,0.3,reset,False,-1.0518905224960902,
1.5,630009,False,2863,0.5,preserved,False,-0.47269394618481897,
1.5,630009,False,2863,0.5,reset,False,-0.47271371903512893,
1.5,630010,False,1291,0.1,preserved,False,-2.253326522197196,
1.5,630010,False,1291,0.1,reset,False,-2.252723910380813,
1.5,630010,False,1291,0.3,preserved,False,-0.856503348715238,
1.5,630010,False,1291,0.3,reset,False,-0.8565116910505992,
1.5,630010,False,1291,0.5,preserved,False,-0.36775207460015436,
1.5,630010,False,1291,0.5,reset,False,-0.3676518247829774,
1.5,630011,False,1514,0.1,preserved,False,-2.4953393738226053,
1.5,630011,False,1514,0.1,reset,False,-2.4953376528019717,
1.5,630011,False,1514,0.3,preserved,False,-0.986990113870645,
1.5,630011,False,1514,0.3,reset,False,-0.986990108855549,
1.5,630011,False,1514,0.5,preserved,False,-0.4307576803839357,
1.5,630011,False,1514,0.5,reset,False,-0.43038401466993825,
1.5,630012,False,3937,0.1,preserved,False,-2.443638925901115,
1.5,630012,False,3937,0.1,reset,False,-2.4436389185075758,
1.5,630012,False,3937,0.3,preserved,False,-0.9396469727798622,
1.5,630012,False,3937,0.3,reset,False,-0.9396558910056378,
1.5,630012,False,3937,0.5,preserved,False,-0.4027485683812033,
1.5,630012,False,3937,0.5,reset,False,-0.4027417036078589,
1.5,630013,False,939,0.1,preserved,False,-2.5945468348400036,
1.5,630013,False,939,0.1,reset,False,-2.5945569406171765,
1.5,630013,False,939,0.3,preserved,False,-1.043803724263825,
1.5,630013,False,939,0.3,reset,False,-1.04380372362656,
1.5,630013,False,939,0.5,preserved,False,-0.4615746165824275,
1.5,630013,False,939,0.5,reset,False,-0.46162426049275673,
1.5,630014,False,939,0.1,preserved,False,-2.671342616839206,
1.5,630014,False,939,0.1,reset,False,-2.6712510214557845,
1.5,630014,False,939,0.3,preserved,False,-1.089385942791185,
1.5,630014,False,939,0.3,reset,False,-1.0887869386647693,
1.5,630014,False,939,0.5,preserved,False,-0.4872448502968547,
1.5,630014,False,939,0.5,reset,False,-0.48725040290392574,
1.5,630015,False,801,0.1,preserved,False,-2.6405897541419288,
1.5,630015,False,801,0.1,reset,False,-2.6405897636626237,
1.5,630015,False,801,0.3,preserved,False,-1.045140319831873,
1.5,630015,False,801,0.3,reset,False,-1.0451403087279547,
1.5,630015,False,801,0.5,preserved,False,-0.4523559228016554,
1.5,630015,False,801,0.5,reset,False,-0.4523649350744865,
1.5,630016,False,6347,0.1,preserved,False,-2.4609063914620344,
1.5,630016,False,6347,0.1,reset,False,-2.4608984894012558,
1.5,630016,False,6347,0.3,preserved,False,-0.9607671072148212,
1.5,630016,False,6347,0.3,reset,False,-0.9607871772576337,
1.5,630016,False,6347,0.5,preserved,False,-0.4140442035200831,
1.5,630016,False,6347,0.5,reset,False,-0.4140442056073286,
1.5,630017,False,2082,0.1,preserved,False,-2.5486347850250057,
1.5,630017,False,2082,0.1,reset,False,-2.5486347919765984,
1.5,630017,False,2082,0.3,preserved,False,-0.9979276856167028,
1.5,630017,False,2082,0.3,reset,False,-0.9979277161739399,
1.5,630017,False,2082,0.5,preserved,False,-0.43173140206591265,
1.5,630017,False,2082,0.5,reset,False,-0.4317312878532351,
1.5,630018,False,12000,0.1,preserved,False,-2.4720049069388823,
1.5,630018,False,12000,0.1,reset,False,-2.472092409561246,
1.5,630018,False,12000,0.3,preserved,False,-0.006031664907235557,
1.5,630018,False,12000,0.3,reset,False,-0.006026226035144022,
1.5,630018,False,12000,0.5,preserved,False,-0.0034963037506283157,
1.5,630018,False,12000,0.5,reset,False,-0.0035118715562829916,
1.5,630019,False,5413,0.1,preserved,False,-2.63385585281447,
1.5,630019,False,5413,0.1,reset,False,-2.633883744682298,
