act,seed,excluded,ck_step,T,final_placed,drift
f1.30,500000,False,68,100,True,2.220446049250313e-16
f1.30,500001,False,97,100,True,2.220446049250313e-16
f1.30,500002,False,2,200,True,2.220446049250313e-16
f1.30,500003,False,233,100,True,2.220446049250313e-16
f1.30,500004,False,81,100,True,2.220446049250313e-16
f1.30,500005,False,137,100,True,2.220446049250313e-16
f1.30,500006,False,81,100,True,2.220446049250313e-16
f1.30,500007,False,57,100,True,2.220446049250313e-16
f1.30,500008,False,2,200,True,2.220446049250313e-16
f1.30,500009,False,115,100,True,2.220446049250313e-16
f1.30,500010,False,233,200,True,2.220446049250313e-16
f1.30,500011,False,12,100,True,2.220446049250313e-16
f1.30,500012,False,137,100,True,2.220446049250313e-16
f1.30,500013,False,97,100,True,2.220446049250313e-16
f1.30,500014,False,195,100,True,2.220446049250313e-16
f1.30,500015,False,57,100,True,2.220446049250313e-16
f1.30,500016,False,48,100,True,2.220446049250313e-16
f1.30,500017,False,97,200,True,2.220446049250313e-16
f1.30,500018,False,97,100,True,2.220446049250313e-16
f1.30,500019,False,81,100,True,2.220446049250313e-16
f1.50,500000,False,68,100,True,2.220446049250313e-16
f1.50,500001,False,97,100,True,2.220446049250313e-16
f1.50,500002,False,2,200,True,2.220446049250313e-16
f1.50,500003,False,233,100,True,2.220446049250313e-16
f1.50,500004,False,68,100,True,2.220446049250313e-16
f1.50,500005,False,115,100,True,2.220446049250313e-16
f1.50,500006,False,81,100,True,2.220446049250313e-16
f1.50,500007,False,57,100,True,2.220446049250313e-16
f1.50,500008,False,2,100,True,2.220446049250313e-16
f1.50,500009,False,115,100,True,2.220446049250313e-16
f1.50,500010,False,233,200,True,2.220446049250313e-16
f1.50,500011,False,8,100,True,2.220446049250313e-16
f1.50,500012,False,164,100,True,2.220446049250313e-16
f1.50,500013,False,97,100,True,2.220446049250313e-16
f1.50,500014,False,195,100,True,2.220446049250313e-16
f1.50,500015,False,57,100,True,2.220446049250313e-16
f1.50,500016,False,48,100,True,2.220446049250313e-16
f1.50,500017,False,8,600,True,2.220446049250313e-16
f1.50,500018,False,97,100,True,2.220446049250313e-16
f1.50,500019,False,68,100,True,2.220446049250313e-16
