act,seed,placed_at_init,cross_step,ck_step,n_saved
f1.30,630000,False,110,97,23
f1.30,630001,False,120,115,24
f1.30,630002,False,107,97,23
f1.30,630003,False,73,68,21
f1.30,630004,False,36,34,17
f1.30,630005,False,952,951,36
f1.30,630006,False,49,48,19
f1.30,630007,False,181,164,26
f1.30,630008,False,14,12,11
f1.30,630009,False,66,57,20
f1.30,630010,False,127,115,24
f1.30,630011,False,33,28,16
f1.30,630012,False,104,97,23
f1.30,630013,False,80,68,21
f1.30,630014,False,58,57,20
f1.30,630015,False,131,115,24
f1.30,630016,False,105,97,23
f1.30,630017,False,53,48,19
f1.30,630018,False,80,68,21
f1.30,630019,False,79,68,21
f1.30,630020,False,114,97,23
f1.30,630021,False,106,97,23
f1.30,630022,False,93,81,22
f1.30,630023,False,233,195,27
f1.30,630024,False,103,97,23
f1.30,630025,False,108,97,23
f1.30,630026,False,203,195,27
f1.30,630027,False,48,40,18
f1.30,630028,False,82,81,22
f1.30,630029,False,140,137,25
f1.30,630030,False,30,28,16
f1.30,630031,False,158,137,25
f1.30,630032,False,98,97,23
f1.30,630033,False,291,278,29
f1.30,630034,False,152,137,25
f1.30,630035,False,192,164,26
f1.30,630036,False,166,164,26
f1.30,630037,False,92,81,22
f1.30,630038,False,149,137,25
f1.30,630039,False,111,97,23
f1.30,630040,False,208,195,27
f1.30,630041,False,146,137,25
f1.30,630042,False,117,115,24
f1.30,630043,False,147,137,25
f1.30,630044,False,13,12,11
f1.30,630045,False,69,68,21
f1.30,630046,False,173,164,26
f1.30,630047,False,112,97,23
f1.30,630048,False,99,97,23
f1.30,630049,False,56,48,19
f1.30,630050,False,1002,951,36
f1.30,630051,False,199,195,27
f1.30,630052,False,133,115,24
f1.30,630053,False,95,81,22
f1.30,630054,False,52,48,19
f1.30,630055,False,68,57,20
f1.30,630056,False,296,278,29
f1.30,630057,False,85,81,22
f1.30,630058,False,17,14,12
f1.30,630059,False,22,20,14
f1.30,630060,False,104,97,23
f1.30,630061,False,65,57,20
f1.30,630062,False,243,233,28
f1.30,630063,False,114,97,23
f1.30,630064,False,78,68,21
f1.30,630065,False,192,164,26
f1.30,630066,False,81,68,21
f1.30,630067,False,188,164,26
f1.30,630068,False,129,115,24
f1.30,630069,False,4,3,4
f1.30,630070,False,83,81,22
f1.30,630071,False,116,115,24
f1.30,630072,False,17,14,12
f1.30,630073,False,72,68,21
f1.30,630074,False,153,137,25
f1.30,630075,False,45,40,18
f1.30,630076,False,288,278,29
f1.30,630077,False,589,561,33
f1.30,630078,False,25,24,15
f1.30,630079,False,167,164,26
f1.50,630000,False,105,97,23
f1.50,630001,False,117,115,24
f1.50,630002,False,98,97,23
f1.50,630003,False,72,68,21
f1.50,630004,False,34,28,16
f1.50,630005,False,93,81,22
f1.50,630006,False,48,40,18
