act,variant,R2,n,placed_frac,cp_lo,sign_correct_frac,pair_frac_placed,pair_frac_unplaced,pair_strict_frac,max_abs_alpha_median,frac_placed_pair,frac_single_unit_min,frac_other,n_extended,escaped_by_4H,escaped_by_16H,outcome
f1.30,preserved,0.003,80,0.4625,0.3502764265383982,0.4625,0.972972972972973,0.0,0.0,1.8125212748427835,0.45,0.0,0.55,0,,,gating at small scale (competing)
f1.30,preserved,0.01,80,0.5,0.38604788336490925,0.5,0.975,0.0,0.0,1.8084669898931245,0.4875,0.0,0.5125,0,,,gating at small scale (competing)
f1.30,preserved,0.03,80,0.675,0.5610629543955515,0.675,0.9814814814814815,0.0,0.0125,1.8076581300863146,0.6625,0.0,0.3375,0,,,gating at small scale (competing)
f1.30,preserved,0.1,80,0.9875,0.9323122155360776,0.9875,1.0,0.0,0.025,1.8185650226363503,0.9875,0.0,0.0125,0,,,gating at small scale (competing)
f1.30,reset,0.003,80,0.4375,0.3267639534337789,0.425,0.9714285714285714,0.0,0.0,1.8096249998945888,0.425,0.0,0.575,0,,,descriptive: gating at small scale (competing)
f1.30,reset,0.01,80,0.45,0.3384863844898154,0.45,0.9722222222222222,0.0,0.0,1.806995490191592,0.4375,0.0,0.5625,0,,,descriptive: gating at small scale (competing)
f1.30,reset,0.03,80,0.6375,0.5223872787351914,0.6375,0.9803921568627451,0.0,0.0125,1.8076582317954721,0.625,0.0,0.375,0,,,descriptive: gating at small scale (competing)
f1.30,reset,0.1,80,1.0,0.9549359649323077,1.0,1.0,,0.025,1.8185030774091309,1.0,0.0,0.0,0,,,descriptive: gating at small scale (competing)
f1.50,preserved,0.003,80,0.4625,0.3502764265383982,0.4625,1.0,0.0,0.0,1.8097811271657414,0.4625,0.0,0.5375,0,,,gating at small scale (competing)
f1.50,preserved,0.01,80,0.4875,0.374057481444439,0.4875,1.0,0.0,0.0,1.80700193202415,0.4875,0.0,0.5125,0,,,gating at small scale (competing)
f1.50,preserved,0.03,80,0.6375,0.5223872787351914,0.6375,1.0,0.0,0.0125,1.8070006929027496,0.6375,0.0,0.3625,0,,,gating at small scale (competing)
f1.50,preserved,0.1,80,0.975,0.9125928440694077,0.975,1.0,0.0,0.025,1.8135720035698961,0.975,0.0,0.025,0,,,gating at small scale (competing)
f1.50,reset,0.003,80,0.425,0.31510976545234204,0.425,1.0,0.0,0.0,1.8080269714362256,0.425,0.0,0.575,0,,,descriptive: gating at small scale (competing)
f1.50,reset,0.01,80,0.4625,0.3502764265383982,0.4625,1.0,0.0,0.0,1.8035569875115125,0.4625,0.0,0.5375,0,,,descriptive: gating at small scale (competing)
f1.50,reset,0.03,80,0.625,0.5096452355928875,0.625,1.0,0.0,0.0125,1.8070006001439316,0.625,0.0,0.375,0,,,descriptive: gating at small scale (competing)
f1.50,reset,0.1,80,0.975,0.9125928440694077,0.975,1.0,0.0,0.025,1.8135533165733628,0.975,0.0,0.025,0,,,descriptive: gating at small scale (competing)
tanh,preserved,0.003,80,0.5875,0.47184834042520446,0.5875,0.6382978723404256,0.0,0.0,12.013043740227037,0.375,0.0,0.625,0,,,descriptive: neither
tanh,preserved,0.01,80,0.6125,0.4969755425018991,0.6125,0.6938775510204082,0.0,0.0,14.309369271207817,0.425,0.0,0.575,0,,,descriptive: neither
tanh,preserved,0.03,80,0.675,0.5610629543955515,0.675,0.7222222222222222,0.0,0.0,16.472152215507617,0.4875,0.0,0.5125,0,,,descriptive: neither
tanh,preserved,0.1,80,0.75,0.64063652409315,0.75,0.85,0.0,0.0,18.58254869662346,0.6375,0.0,0.3625,0,,,descriptive: neither
tanh,reset,0.003,80,0.6,0.4843769404954894,0.6,0.7916666666666666,0.0,0.0,21.586822159902272,0.475,0.0,0.525,0,,,descriptive: neither
tanh,reset,0.01,80,0.5875,0.47184834042520446,0.5875,0.7021276595744681,0.0,0.0,22.070984489780994,0.4125,0.0,0.5875,0,,,descriptive: neither
tanh,reset,0.03,80,0.6,0.4843769404954894,0.6,0.7291666666666666,0.0,0.0,22.131935053369126,0.4375,0.0,0.5625,0,,,descriptive: neither
tanh,reset,0.1,80,0.7,0.587240676918624,0.7,0.6785714285714286,0.0,0.0,21.99860093805178,0.475,0.0,0.525,0,,,descriptive: neither
