a,alpha,max_abs_diff
0.5,0.7,1.3322676295501878e-15
0.5,1.79,1.7763568394002505e-15
0.5,1.9634954084936207,1.7763568394002505e-15
0.5,7.7,7.105427357601002e-15
1.0,0.7,1.7763568394002505e-15
1.0,1.79,1.7763568394002505e-15
1.0,1.9634954084936207,1.9984014443252818e-15
1.0,7.7,7.105427357601002e-15
1.3,0.7,2.6645352591003757e-15
1.3,1.79,2.6645352591003757e-15
1.3,1.9634954084936207,2.6645352591003757e-15
1.3,7.7,7.327471962526033e-15
1.5,0.7,2.6645352591003757e-15
1.5,1.79,2.6645352591003757e-15
1.5,1.9634954084936207,2.6645352591003757e-15
1.5,7.7,7.105427357601002e-15
