configuration,q,activation,parameter,monotonic,depth,width,seed,final_eval_accuracy,perfect_eval,eval_errors,dense_errors,dense_min_margin,regionally_separating,duration_seconds
winding_q1,1,tanh,,True,5,3,0,0.9315,False,137,,,False,1.944578625028953
winding_q1,1,tanh,,True,5,3,1,0.9535,False,93,,,False,1.2307519591413438
winding_q1,1,tanh,,True,5,3,2,0.9155,False,169,,,False,1.2974449580069631
winding_q1,1,tanh,,True,5,3,3,0.9405,False,119,,,False,1.241120042046532
winding_q1,1,tanh,,True,5,3,4,0.976,False,48,,,False,1.5678043751977384
winding_q1,1,tanh,,True,5,3,5,0.958,False,84,,,False,1.2847817910369486
winding_q1,1,tanh,,True,5,3,6,0.977,False,46,,,False,1.235228457953781
winding_q1,1,tanh,,True,5,3,7,0.9445,False,111,,,False,1.252760750008747
winding_q1,1,tanh,,True,5,3,8,0.916,False,168,,,False,1.2656372080091387
winding_q1,1,tanh,,True,5,3,9,0.951,False,98,,,False,1.2517655841074884
winding_q1,1,tanh,,True,5,3,10,0.932,False,136,,,False,1.260323999915272
winding_q1,1,tanh,,True,5,3,11,0.964,False,72,,,False,1.3297816249541938
winding_q1,1,tanh,,True,5,3,12,0.9135,False,173,,,False,1.334731541806832
winding_q1,1,tanh,,True,5,3,13,0.9565,False,87,,,False,1.2818889999762177
winding_q1,1,tanh,,True,5,3,14,0.9055,False,189,,,False,1.2790687920060009
winding_q1,1,tanh,,True,5,3,15,0.9525,False,95,,,False,1.241973458090797
winding_q1,1,tanh,,True,5,3,16,0.955,False,90,,,False,1.274705208837986
winding_q1,1,tanh,,True,5,3,17,0.9635,False,73,,,False,1.261535125086084
winding_q1,1,tanh,,True,5,3,18,0.9545,False,91,,,False,1.4538672917988151
winding_q1,1,tanh,,True,5,3,19,0.9585,False,83,,,False,1.3112809578888118
winding_q1,1,tanh,,True,5,4,0,1.0,True,0,0.0,3.006074905395508,True,1.6129795832093805
winding_q1,1,tanh,,True,5,4,1,1.0,True,0,21.0,-2.7450826168060303,False,1.4280746658332646
winding_q1,1,tanh,,True,5,4,2,1.0,True,0,14.0,-2.6796514987945557,False,1.4533028749283403
winding_q1,1,tanh,,True,5,4,3,1.0,True,0,0.0,1.4967961311340332,True,1.4441153339575976
winding_q1,1,tanh,,True,5,4,4,1.0,True,0,0.0,4.325510025024414,True,1.4183015420567244
winding_q1,1,tanh,,True,5,4,5,0.999,False,2,,,False,1.240820957813412
winding_q1,1,tanh,,True,5,4,6,1.0,True,0,114.0,-9.130615234375,False,1.4417647500522435
winding_q1,1,tanh,,True,5,4,7,0.9995,False,1,,,False,1.249628916149959
winding_q1,1,tanh,,True,5,4,8,0.999,False,2,,,False,1.2367323338985443
winding_q1,1,tanh,,True,5,4,9,1.0,True,0,31.0,-4.255316257476807,False,1.431026500184089
winding_q1,1,tanh,,True,5,4,10,1.0,True,0,50.0,-4.934018611907959,False,1.431803666986525
winding_q1,1,tanh,,True,5,4,11,1.0,True,0,0.0,3.1521530151367188,True,1.4167968749534339
winding_q1,1,tanh,,True,5,4,12,0.9995,False,1,,,False,1.2288830000907183
winding_q1,1,tanh,,True,5,4,13,1.0,True,0,0.0,2.3255369663238525,True,1.3897173749282956
winding_q1,1,tanh,,True,5,4,14,1.0,True,0,0.0,4.243805408477783,True,1.411662292201072
winding_q1,1,tanh,,True,5,4,15,1.0,True,0,0.0,4.500946044921875,True,1.410768291912973
winding_q1,1,tanh,,True,5,4,16,0.993,False,14,,,False,1.241844667121768
winding_q1,1,tanh,,True,5,4,17,1.0,True,0,0.0,0.40737342834472656,True,1.4382554159965366
winding_q1,1,tanh,,True,5,4,18,1.0,True,0,0.0,2.095036745071411,True,1.5498140829149634
winding_q1,1,tanh,,True,5,4,19,1.0,True,0,38.0,-5.804523468017578,False,1.4806749999988824
winding_q1,1,tanh,,True,5,5,0,1.0,True,0,0.0,2.371619701385498,True,1.7265619579702616
winding_q1,1,tanh,,True,5,5,1,1.0,True,0,0.0,3.3504536151885986,True,1.5434452090412378
winding_q1,1,tanh,,True,5,5,2,1.0,True,0,0.0,4.556453704833984,True,1.5203825829084963
winding_q1,1,tanh,,True,5,5,3,1.0,True,0,0.0,3.532939910888672,True,1.5197478330228478
winding_q1,1,tanh,,True,5,5,4,1.0,True,0,0.0,2.729867458343506,True,1.5626307500060648
winding_q1,1,tanh,,True,5,5,5,1.0,True,0,0.0,5.088730812072754,True,1.5629483337979764
winding_q1,1,tanh,,True,5,5,6,1.0,True,0,0.0,5.10685396194458,True,1.6396252079866827
winding_q1,1,tanh,,True,5,5,7,0.9995,False,1,,,False,1.5159185829106718
winding_q1,1,tanh,,True,5,5,8,1.0,True,0,0.0,2.556499481201172,True,1.7392387078143656
winding_q1,1,tanh,,True,5,5,9,1.0,True,0,0.0,0.5645885467529297,True,1.8646827500779182
winding_q1,1,tanh,,True,5,5,10,1.0,True,0,0.0,3.3118820190429688,True,1.9018327910453081
winding_q1,1,tanh,,True,5,5,11,1.0,True,0,0.0,5.690367221832275,True,1.8877489580772817
winding_q1,1,tanh,,True,5,5,12,1.0,True,0,0.0,2.0837302207946777,True,1.5261043328791857
winding_q1,1,tanh,,True,5,5,13,1.0,True,0,0.0,3.212205410003662,True,1.782891457900405
winding_q1,1,tanh,,True,5,5,14,0.999,False,2,,,False,1.770941915921867
winding_q1,1,tanh,,True,5,5,15,1.0,True,0,0.0,3.7836544513702393,True,2.2895733329933137
winding_q1,1,tanh,,True,5,5,16,1.0,True,0,0.0,1.3905270099639893,True,1.835875584045425
winding_q1,1,tanh,,True,5,5,17,1.0,True,0,0.0,2.9428658485412598,True,1.6994195419829339
winding_q1,1,tanh,,True,5,5,18,1.0,True,0,2.0,-0.10277895629405975,False,1.5872022919356823
winding_q1,1,tanh,,True,5,5,19,1.0,True,0,11.0,-0.8535513877868652,False,1.720363625092432
winding_q1,1,tanh,,True,5,6,0,0.9995,False,1,,,False,1.472502291901037
winding_q1,1,tanh,,True,5,6,1,1.0,True,0,0.0,1.2680718898773193,True,1.7254325000103563
winding_q1,1,tanh,,True,5,6,2,1.0,True,0,0.0,2.3418354988098145,True,1.6804484168533236
winding_q1,1,tanh,,True,5,6,3,0.999,False,2,,,False,1.5123632501345128
winding_q1,1,tanh,,True,5,6,4,1.0,True,0,0.0,4.6758928298950195,True,1.5459901250433177
winding_q1,1,tanh,,True,5,6,5,1.0,True,0,0.0,5.421871185302734,True,1.744663791032508
winding_q1,1,tanh,,True,5,6,6,1.0,True,0,0.0,2.3638052940368652,True,1.767010291106999
winding_q1,1,tanh,,True,5,6,7,1.0,True,0,0.0,5.519924163818359,True,1.5884174997918308
winding_q1,1,tanh,,True,5,6,8,1.0,True,0,0.0,2.1051409244537354,True,1.7020476248580962
winding_q1,1,tanh,,True,5,6,9,0.9995,False,1,,,False,1.4573514589574188
winding_q1,1,tanh,,True,5,6,10,1.0,True,0,0.0,3.846958875656128,True,1.6240828749723732
winding_q1,1,tanh,,True,5,6,11,0.9995,False,1,,,False,1.6030342921148986
winding_q1,1,tanh,,True,5,6,12,1.0,True,0,0.0,4.464372634887695,True,1.6204360001720488
winding_q1,1,tanh,,True,5,6,13,1.0,True,0,0.0,4.880475997924805,True,1.8374152909964323
winding_q1,1,tanh,,True,5,6,14,1.0,True,0,0.0,1.5313587188720703,True,2.1563679170794785
winding_q1,1,tanh,,True,5,6,15,1.0,True,0,0.0,4.642539024353027,True,1.6324891669210047
winding_q1,1,tanh,,True,5,6,16,1.0,True,0,0.0,0.16213750839233398,True,1.6013131248764694
winding_q1,1,tanh,,True,5,6,17,1.0,True,0,0.0,5.842676162719727,True,1.6405070831533521
winding_q1,1,tanh,,True,5,6,18,1.0,True,0,0.0,5.625394821166992,True,1.5678979170043021
winding_q1,1,tanh,,True,5,6,19,1.0,True,0,0.0,4.718069553375244,True,1.5757738330867141
winding_q1,1,relu,,True,5,3,0,0.5,False,1000,,,False,1.1779162499587983
winding_q1,1,relu,,True,5,3,1,0.5,False,1000,,,False,1.1574380828533322
winding_q1,1,relu,,True,5,3,2,0.7125,False,575,,,False,1.143286457983777
winding_q1,1,relu,,True,5,3,3,0.5,False,1000,,,False,1.1452064169570804
winding_q1,1,relu,,True,5,3,4,0.9535,False,93,,,False,1.1608379581011832
winding_q1,1,relu,,True,5,3,5,0.946,False,108,,,False,1.1386790839023888
winding_q1,1,relu,,True,5,3,6,0.5,False,1000,,,False,1.1621440001763403
winding_q1,1,relu,,True,5,3,7,0.936,False,128,,,False,1.155088416999206
winding_q1,1,relu,,True,5,3,8,0.5,False,1000,,,False,1.1697503752075136
winding_q1,1,relu,,True,5,3,9,0.788,False,424,,,False,1.2049365418497473
winding_q1,1,relu,,True,5,3,10,0.5,False,1000,,,False,1.152147291926667
winding_q1,1,relu,,True,5,3,11,0.5,False,1000,,,False,1.157863625092432
winding_q1,1,relu,,True,5,3,12,0.5,False,1000,,,False,1.1583423330448568
winding_q1,1,relu,,True,5,3,13,0.8695,False,261,,,False,1.1514805001206696
winding_q1,1,relu,,True,5,3,14,0.9185,False,163,,,False,1.1681797499768436
winding_q1,1,relu,,True,5,3,15,0.5,False,1000,,,False,1.1379820411093533
winding_q1,1,relu,,True,5,3,16,0.9265,False,147,,,False,1.1314536251593381
winding_q1,1,relu,,True,5,3,17,0.5,False,1000,,,False,1.1615693750791252
winding_q1,1,relu,,True,5,3,18,0.691,False,618,,,False,1.1399757079780102
winding_q1,1,relu,,True,5,3,19,0.5,False,1000,,,False,1.1458443747833371
