a,alpha_star_data,D_star_data,alpha_star_cont,D_star_cont,a_over_1.4,a_limit_1.4_alpha_star,D_P_data,D_P_cont,dmu_star,var_phi_star,s0,R0,bound_check_Lstar_at_s0,bound_check_lower_placed,pair_bound_G,pair_bound_G_sharp,G_cont_hi_at_theta_star,G_n_at_theta_star,Ghat_rigorous,eta,s1_data,s1_cont,R1_data,w2_glob_cert_lo,w2_glob_cert_hi,bracket_contains_cert
1.02,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.7285714285714286,2.5078542154738157,0.5555855720493545,0.5558042489987493,1.6024886378854535,5.224966309029159,0.39647771607835314,0.0003224840240086402,0.6302903266647489,0.6369764693934309,-2.9757084309476314,-3.807699185501135,-3.953273423878768,-3.953273423878768,0.0016267447623457853,0.005909025255169512,8668.999355598706,,7.0511246482495915,,,True
1.05,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.7500000000000001,2.5078542154738157,0.5838980886423444,0.584133994031774,1.6496206566467904,5.265985825448487,0.39366899111774606,0.0012518843183302781,0.6261720813673061,0.6328082555486997,-2.9157084309476313,-3.7721695018115318,-3.9220253354355665,-3.9220253354355665,0.006360085993950388,0.006173159028223827,2217.3048147325394,75442.56250929648,7.0511246482495915,,,True
1.1,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.7857142857142858,2.5078542154738157,0.6317000789757954,0.6319667269024412,1.7281740212490184,5.336993845014957,0.3872232063152201,0.003421494735575578,0.6194384597569774,0.6258797248070344,-2.8157084309476312,-3.7129533623288604,-3.869945188030229,-3.869945188030229,0.017671950853019387,0.006624853591264596,798.001839966056,1276.556996137019,7.0511246482495915,,,True
1.15,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.8214285714285714,2.5078542154738157,0.6801088773813627,0.6804088878871947,1.8067273858512465,5.411304563165916,0.3786895248280868,0.006043583309027094,0.6129828086389248,0.6191015246229581,-2.7157084309476316,-3.653737222846189,-3.8178650406248935,-3.8178650406248935,0.031918407628363586,0.0070908876642431645,441.8218308599935,568.0087788421517,7.0511246482495915,,,True
1.25,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.8928571428571429,2.5078542154738157,0.7779923623363237,0.7783673051820305,1.9638341150557024,5.569834095221292,0.35596882965897786,0.011836964252106117,0.6014305320724129,0.6066031084647938,-2.5157084309476314,-3.5353049438808464,-3.7137047458142205,-3.7137047458142205,0.06650562221105742,0.008065974340013712,212.0459718690445,241.31304363123505,7.0511246482495915,,,True
1.3,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.9285714285714287,2.5078542154738157,0.8270862486215657,0.8275029078672022,2.042387479657931,5.654052909125711,0.3421175471806649,0.01472846726466059,0.5965851219429684,0.6011849469872333,-2.4157084309476313,-3.4760888043981746,-3.661624598408883,-3.661624598408883,0.0861017938777797,0.008575026942805687,163.78577798875048,181.90168188398104,7.0511246482495915,4.95,4.9625,True
1.35,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,0.9642857142857144,2.5078542154738157,0.8760267919028042,0.8764880783557878,2.1209408442601587,5.741574421614618,0.32684577653789515,0.017472121244147223,0.5925149938401307,0.5965122712996731,-2.3157084309476312,-3.4168726649155037,-3.609544451003547,-3.609544451003547,0.10691355066123347,0.009098419055535467,131.90329204558554,144.17247173317392,7.0511246482495915,4.025,4.0375,True
1.4,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,1.0,2.5078542154738157,0.9246233222061914,0.9251321875523342,2.199494208862387,5.832398632688009,0.3103428331189416,0.019981717446424734,0.58932300546025,0.5927146030764842,-2.2157084309476316,-3.357656525432832,-3.5574643035982105,-3.5574643035982105,0.1287718955556906,0.009636150678203047,109.51340923921023,118.37126893361129,7.0511246482495915,3.375,3.3875,True
1.45,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,1.0357142857142858,2.5078542154738157,0.9726863637577351,0.9732457855412655,2.278047573464614,5.926525542345891,0.29280303942551,0.022186464968497455,0.5870984760336667,0.5899051782128909,-2.1157084309476315,-3.298440385950161,-3.505384156192874,-3.505384156192874,0.15154531873731975,0.010188221810808432,93.05631750290644,99.7632917138264,7.0511246482495915,2.8875,2.9,True
1.5,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,1.0714285714285714,2.5078542154738157,1.0200283504516894,1.0206413160388617,2.3566009380668427,6.023955150588257,0.274423826780514,0.02402940105383939,0.5859147372009347,0.5881771493016074,-2.0157084309476314,-3.239224246467489,-3.4533040087875375,-3.4533040087875375,0.1751262004888392,0.010754632453351613,80.52621056777807,85.79494291527674,7.0511246482495915,2.525,2.5375,True
1.6,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,1.142857142857143,2.5078542154738157,1.111812669130133,1.112541638059434,2.5137076672712992,6.228722462826451,0.23594160794560348,0.026467953424252833,0.5868684768938609,0.5882180330044026,-1.8157084309476312,-3.1207919675021465,-3.349143713976865,-3.349143713976865,0.22436020212556185,0.011930472268251393,62.855395756003745,66.38547865203094,7.0511246482495915,2.0,2.0125,True
2.0,1.7913244396241543,1.571067292044562,1.792291661591741,1.5732418725182498,1.4285714285714286,2.5078542154738157,1.4152601322326919,1.416561992001765,3.142134584089124,7.179899655158713,0.0868018592432131,0.019141282299012505,0.6316889751669029,0.6317235751646486,-1.0157084309476314,-2.6470628516407753,-2.932502534734173,-2.932502534734173,0.4410339240633058,0.017207411925362584,31.97542984125401,33.27363648244192,7.0511246482495915,,,True
