a,eps,w2_limit_lo,w2_limit_hi,w2_limit_krawczyk,w2_first_order,w2_cert_lo,w2_cert_hi,rel_err_first_order_vs_cert_mid,N_min_adam_worst_case,N_lr_per_step,reachable_w2_at_2000_worst_case,unreachable_at_2000
1.02,0.020000000000000018,240.8582473416674,243.06795603287537,242.34148781088408,245.55083971926388,,,,3966,24456,106.92684484100029,True
1.05,0.050000000000000044,60.932852386869186,61.49186938124413,61.30808584290611,63.33785821160373,,,,1333,6234,106.92684484100029,False
1.1,0.10000000000000009,21.543016559897055,21.74065891365758,21.67568162054294,23.11094742671411,,,,628,2212,106.92684484100029,False
1.15,0.1499999999999999,11.726532909350246,11.834115780078228,11.798746621634201,12.970636245095442,,,,408,1198,106.92684484100029,False
1.25,0.25,5.45,5.5,5.483561900605229,6.39130369965696,,,,234,540,106.92684484100029,False
1.3,0.30000000000000004,4.145955470004382,4.183991758720018,4.171486872829702,5.000137972381293,4.95,4.9625,0.008855076394712169,190,401,106.92684484100029,False
1.35,0.3500000000000001,3.29006477733601,3.320248857862028,3.310325479545499,4.077507323208987,4.025,4.0375,0.01147468482703573,159,308,106.92684484100029,False
1.4,0.3999999999999999,2.6928770699871363,2.717582364207202,2.7094602025678722,3.427093105653458,3.375,3.3875,0.013558034943721431,134,243,106.92684484100029,False
1.45,0.44999999999999996,2.2567723106247883,2.277476643749786,2.270669846033563,2.947260635599438,2.8875,2.9,0.018491796319460185,115,195,106.92684484100029,False
1.5,0.5,1.9268659787333422,1.9445436482630059,1.9387319024870755,2.5806022841630307,2.525,2.5375,0.019497198681691197,99,159,106.92684484100029,False
1.6,0.6000000000000001,1.4658166136687791,1.479264472509777,1.4748433277042736,2.060788139434892,2.0,2.0125,0.027184119344494384,75,107,106.92684484100029,False
2.0,1.0,0.68125,0.6875,0.6854452375756537,1.139316137101519,,,,14,14,106.92684484100029,False
