window,a,n_runs,n_crossed,S_early_undefined,U_own_mean_abs_log_err,U_own_runlevel_lo,U_own_runlevel_hi,U_mean_abs_log_err,U_runlevel_lo,U_runlevel_hi,C_mean_abs_log_err,C_runlevel_lo,C_runlevel_hi,C_own_mean_abs_log_err,C_own_runlevel_lo,C_own_runlevel_hi,S_early_mean_abs_log_err,S_early_runlevel_lo,S_early_runlevel_hi,U_own_windowlevel_lo,U_own_windowlevel_hi,U_windowlevel_lo,U_windowlevel_hi,C_windowlevel_lo,C_windowlevel_hi,C_own_windowlevel_lo,C_own_windowlevel_hi,S_early_windowlevel_lo,S_early_windowlevel_hi
V10,1.3,60,57,0,0.045586041732998434,0.033630765869497765,0.060986910231370525,0.12066381504339764,0.10001900341481464,0.14278606782943012,0.08642477062352208,0.06993371440410612,0.10404767482593139,0.021514001926871563,0.008239653394486611,0.03926008329390548,0.07484357220424329,0.049515105513559664,0.10399314692112341,,,,,,,,,,
V10,1.5,60,57,0,0.07943025404281315,0.06628484841665691,0.09591307352601669,0.143026769647364,0.11995032093407001,0.16718496719862794,0.08768611679320071,0.0704637068918443,0.10710903802144996,0.033247720279081586,0.01631749147798712,0.054287166374232,0.10171228853333537,0.07926125083877364,0.12835441136872042,,,,,,,,,,
V20,1.3,60,57,0,0.05274427929263979,0.03885327513987723,0.06982930898229292,0.1149828364925353,0.0953156573702508,0.1364834685403841,0.08196149819792574,0.06509400061321029,0.10004348946369628,0.027832797083164832,0.012107710114090767,0.048079352687089266,0.07164356485443897,0.04722708825487265,0.10369921747959743,,,,,,,,,,
V20,1.5,60,57,0,0.08512365190558727,0.07398223318071984,0.09933072289402707,0.14216604938180075,0.12085460054058911,0.16422484106884278,0.07853449481543635,0.06104853042532782,0.09735236210595247,0.03301839298354061,0.01742596984077866,0.05302771978483365,0.09847062261235048,0.07983881536439003,0.12151194576805531,,,,,,,,,,
V30,1.3,60,57,0,0.05183062806456289,0.039381839058483914,0.06698059905659204,0.10918584103601363,0.09124826040998649,0.12765032595319847,0.07340131164935429,0.057924415082017476,0.08995264697181214,0.02659526848017636,0.012047474184674098,0.04513730388530317,0.06963681286772228,0.04702325208629258,0.09819579491685075,,,,,,,,,,
V30,1.5,60,57,0,0.08691996687976326,0.07803729985755181,0.09746347148860868,0.13885376868721738,0.11946983697304735,0.15883805976110488,0.06865633476130717,0.05441952298152078,0.0840713127492168,0.03329713563232725,0.020016945207577946,0.04996809153549949,0.11308095637785275,0.09013557112290359,0.14138691516609272,,,,,,,,,,
V40,1.3,60,57,0,0.053130502086401896,0.04227102615433989,0.06657800467475823,0.09996276883958642,0.08333359483598102,0.11687418400706027,0.06478398304648125,0.051984052211945034,0.07889598235641886,0.026101312858635713,0.01301157682849583,0.0425293537007962,0.06967011329286091,0.04973829288314434,0.0945105624077508,,,,,,,,,,
V40,1.5,60,57,0,0.0921075673827959,0.0836614901129146,0.10146212756531137,0.14333971785191563,0.12689514959174492,0.16010280968111795,0.05801692393122524,0.046862697325874586,0.07011315993724403,0.03663906939145917,0.024635812386945323,0.05110307668993851,0.11774351604483671,0.09709280657668244,0.1423391922182156,,,,,,,,,,
V50,1.3,60,58,0,0.05551522219127738,0.046514712622206696,0.0678616048240433,0.16635340757835335,0.14257051922016767,0.1902836752425916,0.09146659473951481,0.07394942232277703,0.11057458990919344,0.028899415871226717,0.017079924179096675,0.044751983564580905,0.07006912661694936,0.05397881316218578,0.08952273533221629,,,,,,,,,,
V50,1.5,60,58,0,0.10340448006368425,0.09524745779280633,0.11247668145896578,0.21941357360462285,0.19330908019891863,0.2460955334775676,0.09768479249135484,0.07989080247005714,0.11709153213715519,0.04645073755260799,0.03506671194852952,0.06038408711549615,0.12514075018530493,0.10758609061059728,0.14595273213520812,,,,,,,,,,
