a,kind,end,s,W,n_outer_>,c_>,n_inner_>,pi_>,W_side_>,n_outer_<,c_<,n_inner_<,pi_<,W_side_<,min_profiled_loss_at_and_beyond_W,exceeds_log2
1.3,glob,lo,4.95,2.9077100071895274,200,0.22250632911392407,145,0.18125,2.9077100071895274,200,0.22250632911392407,145,0.18125,2.9077100071895274,6.651931919205266,True
1.3,glob,hi,4.9625,2.904989729795668,200,0.22250632911392407,145,0.18125,2.904989729795668,200,0.22250632911392407,145,0.18125,2.904989729795668,6.654935475018956,True
1.3,solve,lo,7.1,2.5617824722857248,200,0.31353164556962027,122,0.1525,2.5617824722857248,200,0.31353164556962027,122,0.1525,2.5617824722857248,7.039947764196274,True
1.3,solve,hi,7.1125,2.5602992633062924,200,0.31353164556962027,122,0.1525,2.5602992633062924,200,0.31353164556962027,122,0.1525,2.5602992633062924,7.041783925822992,True
1.35,glob,lo,4.025,3.2261957600735633,200,0.22250632911392407,145,0.18125,3.2261957600735633,200,0.22250632911392407,145,0.18125,3.2261957600735633,6.3973702983557965,True
1.35,glob,hi,4.0375,3.22208387951241,200,0.22250632911392407,145,0.18125,3.22208387951241,200,0.22250632911392407,145,0.18125,3.22208387951241,6.415261658427686,True
1.35,solve,lo,5.7125,2.8277474198021615,200,0.2730759493670886,132,0.165,2.8277474198021615,200,0.2730759493670886,132,0.165,2.8277474198021615,7.170302355505205,True
1.35,solve,hi,5.725,2.825575262518484,200,0.2730759493670886,132,0.165,2.825575262518484,200,0.2730759493670886,132,0.165,2.825575262518484,7.1730107744117255,True
1.4,glob,lo,3.375,3.547789374008432,200,0.18205063291139242,155,0.19375,3.547789374008432,200,0.18205063291139242,155,0.19375,3.547789374008432,5.490352737411513,True
1.4,glob,hi,3.3875,3.5421738227300263,200,0.18205063291139242,155,0.19375,3.5421738227300263,200,0.18205063291139242,155,0.19375,3.5421738227300263,5.50759344000534,True
1.4,solve,lo,4.7375,3.0967479558231004,200,0.22250632911392407,145,0.18125,3.0967479558231004,200,0.22250632911392407,145,0.18125,3.0967479558231004,7.255936028644169,True
1.4,solve,hi,4.75,3.093778505402024,200,0.22250632911392407,145,0.18125,3.093778505402024,200,0.22250632911392407,145,0.18125,3.093778505402024,7.26059730643047,True
1.45,glob,lo,2.8875,3.876069144025836,200,0.1618227848101266,160,0.2,3.876069144025836,200,0.1618227848101266,160,0.2,3.876069144025836,4.885495265946554,True
1.45,glob,hi,2.9,3.8685408236215526,200,0.1618227848101266,160,0.2,3.8685408236215526,200,0.1618227848101266,160,0.2,3.8685408236215526,4.900369170655562,True
1.45,solve,lo,4.0125,3.3709301738149686,200,0.22250632911392407,145,0.18125,3.3709301738149686,200,0.22250632911392407,145,0.18125,3.3709301738149686,6.415762776895543,True
1.45,solve,hi,4.025,3.366792674060287,200,0.22250632911392407,145,0.18125,3.366792674060287,200,0.22250632911392407,145,0.18125,3.366792674060287,6.434073080930616,True
1.5,glob,lo,2.525,4.199456387108365,200,0.14159493670886078,165,0.20625,4.199456387108365,200,0.14159493670886078,165,0.20625,4.199456387108365,4.543229210240277,True
1.5,glob,hi,2.5375,4.189784899469554,200,0.14159493670886078,165,0.20625,4.189784899469554,200,0.14159493670886078,165,0.20625,4.189784899469554,4.554957352453602,True
1.5,solve,lo,3.475,3.646344776808934,200,0.20227848101265825,150,0.1875,3.646344776808934,200,0.20227848101265825,150,0.1875,3.646344776808934,5.666629626338409,True
1.5,solve,hi,3.4875,3.64094345265732,200,0.20227848101265825,150,0.1875,3.64094345265732,200,0.20227848101265825,150,0.1875,3.64094345265732,5.6837149480806195,True
1.6,glob,lo,2.0,4.860722681427728,200,0.12136708860759496,170,0.2125,4.860722681427728,200,0.12136708860759496,170,0.2125,4.860722681427728,4.337109749406809,True
1.6,glob,hi,2.0125,4.845573685263341,200,0.12136708860759496,170,0.2125,4.845573685263341,200,0.12136708860759496,170,0.2125,4.845573685263341,4.342229169517322,True
1.6,solve,lo,2.7,4.217651730908125,200,0.1618227848101266,160,0.2,4.217651730908125,200,0.1618227848101266,160,0.2,4.217651730908125,4.82214632956772,True
1.6,solve,hi,2.7125,4.208901757953678,200,0.18205063291139242,155,0.19375,4.208901757953678,200,0.18205063291139242,155,0.19375,4.208901757953678,4.8340235322487555,True
