window,test,I,O,i,o1,o2,kappa0_lo,kappa0_hi
H10,Block 3,"[-0.6, 0.6]","[-2.0, -0.8] U [0.8, 2.0]",0.6,0.8,2.0,0.1910057767003361,0.1910178287619542
H35,Block 3,"[-0.6, 0.6]","[-1.7, -0.9] U [0.9, 1.7]",0.6,0.9,1.7,0.3007246191329799,0.3007447959819407
H65,Block 3,"[-0.8, 0.8]","[-2.2, -1.4] U [1.4, 2.2]",0.8,1.4,2.2,0.4188901679490748,0.4189121718150118
H90,Block 3,"[-0.7, 0.7]","[-2.7, -1.5] U [1.5, 2.7]",0.7,1.5,2.7,0.5132612272640581,0.513287903338386
V10,own-seed,"[-0.7, 0.7]","[-1.5, -0.9] U [0.9, 1.5]",0.7,0.9,1.5,0.1902957970561223,0.1903120363960422
V20,own-seed,"[-0.8, 0.8]","[-1.9, -1.1] U [1.1, 1.9]",0.8,1.1,1.9,0.2415900732655762,0.2416102095211662
V30,own-seed,"[-0.9, 0.9]","[-2.1, -1.3] U [1.3, 2.1]",0.9,1.3,2.1,0.278966003523768,0.2789864161933322
V40,own-seed,"[-0.9, 0.9]","[-2.0, -1.4] U [1.4, 2.0]",0.9,1.4,2.0,0.3344283822240104,0.3344464681838704
V50,own-seed,"[-0.5, 0.5]","[-2.1, -0.9] U [0.9, 2.1]",0.5,0.9,2.1,0.3585401096282292,0.3585649231106744
V60,own-seed,"[-0.6, 0.6]","[-2.3, -1.1] U [1.1, 2.3]",0.6,1.1,2.3,0.3984482140259923,0.3984735464421203
V70,own-seed,"[-0.5, 0.5]","[-1.5, -0.9] U [0.9, 1.5]",0.5,0.9,1.5,0.4330037780000129,0.433040513105515
V80,own-seed,"[-0.9, 0.9]","[-2.3, -1.7] U [1.7, 2.3]",0.9,1.7,2.3,0.472497373214229,0.4725381292360726
